paper,coefficient number,regression number,original p-value,randomization inference p-value,reported treatment effect indicator,leverage
AshrafBerryShapiro_2010,98.0,15.0,0.7551066820660439,0.7523247675232477,0,
AshrafBerryShapiro_2010,99.0,15.0,0.5739660491650398,0.5754424557544245,0,
AshrafBerryShapiro_2010,100.0,15.0,0.0694678567347497,0.0695930406959304,0,
AshrafBerryShapiro_2010,101.0,15.0,0.9007314572169236,0.8968103189681031,0,
AshrafBerryShapiro_2010,102.0,15.0,0.0784055316917053,0.0772922707729227,0,
AshrafBerryShapiro_2010,103.0,15.0,0.0446953847089547,0.0506949305069493,0,
AshrafBerryShapiro_2010,104.0,15.0,0.1042120474527678,0.1123887611238876,0,
AshrafBerryShapiro_2010,105.0,15.0,0.377808874232884,0.3992600739926007,0,
AshrafBerryShapiro_2010,106.0,15.0,0.5988102557843029,0.6045395460453955,0,
AshrafBerryShapiro_2010,107.0,15.0,0.2991582343025956,0.3137,0,
AshrafBerryShapiro_2010,108.0,16.0,0.5674987407111597,0.5629437056294371,1,0.0136052244971556
AshrafBerryShapiro_2010,109.0,16.0,0.1802000729386454,0.1750824917508249,0,
AshrafBerryShapiro_2010,110.0,16.0,0.1881289620860051,0.1924807519248075,0,
AshrafBerryShapiro_2010,111.0,16.0,0.5713943749690573,0.5734426557344265,0,
AshrafBerryShapiro_2010,112.0,16.0,0.534687926913598,0.5415458454154585,0,
AshrafBerryShapiro_2010,113.0,16.0,0.1152489067514051,0.1120887911208879,0,
AshrafBerryShapiro_2010,114.0,16.0,0.8380685298323346,0.8454154584541546,0,
AshrafBerryShapiro_2010,115.0,16.0,0.3522189665946277,0.3533373542420587,0,
AshrafBerryShapiro_2010,116.0,17.0,0.1847105213440047,0.1888811118888111,1,0.0503701424941919
AshrafBerryShapiro_2010,117.0,17.0,0.2499609285091541,0.2431756824317568,0,
AshrafBerryShapiro_2010,118.0,17.0,0.8672473599569849,0.8702129787021298,0,
AshrafBerryShapiro_2010,119.0,17.0,0.5666876532541083,0.5711428857114289,0,
AshrafBerryShapiro_2010,120.0,17.0,0.8395701425904707,0.8356164383561644,0,
AshrafBerryShapiro_2010,121.0,17.0,0.97318246472713,0.973879103282626,0,
AshrafBerryShapiro_2010,122.0,17.0,0.6236442005338558,0.661069014949826,0,
AshrafBerryShapiro_2010,123.0,18.0,0.1496066048340916,0.1531846815318468,1,0.0503701424941919
AshrafBerryShapiro_2010,124.0,18.0,0.1735578731197283,0.1766823317668233,0,
AshrafBerryShapiro_2010,125.0,18.0,0.2818094406036863,0.2795720427957204,0,
AshrafBerryShapiro_2010,126.0,18.0,0.5985394878988134,0.6008399160083991,0,
AshrafBerryShapiro_2010,127.0,18.0,0.6357178256374645,0.6393360663933607,0,
AshrafBerryShapiro_2010,128.0,18.0,0.8645707762950521,0.8684947958366693,0,
AshrafBerryShapiro_2010,129.0,18.0,0.5139848667837543,0.5695269301658816,0,
AshrafBerryShapiro_2010,130.0,19.0,0.30489005100871,0.3027697230276972,1,0.0125121141030832
AshrafBerryShapiro_2010,131.0,19.0,0.8611440343536139,0.8620137986201379,0,
AshrafBerryShapiro_2010,132.0,19.0,0.9382059196885556,0.9388061193880612,0,
AshrafBerryShapiro_2010,133.0,19.0,0.8426538712664708,0.8392160783921608,0,
AshrafBerryShapiro_2010,134.0,19.0,0.5314473749415931,0.5304469553044695,0,
AshrafBerryShapiro_2010,135.0,19.0,0.1721371115639137,0.1791820817918208,0,
AshrafBerryShapiro_2010,136.0,19.0,0.2691239522033199,0.2595740425957404,0,
AshrafBerryShapiro_2010,137.0,19.0,0.5328885314600869,0.5908771929824561,0,
AshrafBerryShapiro_2010,138.0,20.0,0.0917154173758499,0.0916908309169083,1,0.0176869533952171
AshrafBerryShapiro_2010,139.0,20.0,0.8925419147540687,0.8914108589141085,0,
AshrafBerryShapiro_2010,140.0,20.0,0.4192568623916045,0.4166583341665833,0,
AshrafBerryShapiro_2010,141.0,20.0,0.5235810814874299,0.5267473252674733,0,
AshrafBerryShapiro_2010,142.0,20.0,0.7650757262635144,0.7663233676632337,0,
AshrafBerryShapiro_2010,143.0,20.0,0.1230813722135606,0.1296870312968703,0,
AshrafBerryShapiro_2010,144.0,20.0,0.5291756384167473,0.5338,0,
AshrafBerryShapiro_2010,145.0,20.0,0.6258528881749656,0.736241127456023,0,
AshrafBerryShapiro_2010,146.0,21.0,3.37211757616858e-12,9.999000099990002e-05,1,0.0027665597229941
AshrafBerryShapiro_2010,147.0,22.0,0.0124085771419074,0.0140985901409859,1,0.0118651614935538
AshrafBerryShapiro_2010,148.0,22.0,0.1128398112861422,0.1081891810818918,0,
AshrafBerryShapiro_2010,149.0,22.0,0.1284944383369334,0.1258874112588741,0,
AshrafBerryShapiro_2010,150.0,22.0,0.1489385947998313,0.148985101489851,0,
AshrafBerryShapiro_2010,151.0,22.0,0.1618227949810432,0.1663833616638336,0,
AshrafBerryShapiro_2010,152.0,22.0,0.8767964606427665,0.8787121287871212,0,
AshrafBerryShapiro_2010,153.0,22.0,0.7112068989016347,0.7061824729891957,0,
AshrafBerryShapiro_2010,154.0,23.0,0.4349742497473434,0.4452554744525547,1,0.0216217889556568
AshrafBerryShapiro_2010,155.0,23.0,0.2571587460791066,0.2685731426857314,0,
AshrafBerryShapiro_2010,156.0,23.0,0.0341373331639012,0.038996100389961,0,
AshrafBerryShapiro_2010,157.0,23.0,0.0080759518174977,0.0102989701029897,0,
AshrafBerryShapiro_2010,158.0,23.0,0.2523753750996209,0.2608739126087391,0,
AshrafBerryShapiro_2010,159.0,23.0,0.0307789106872325,0.0341965803419658,0,
AshrafBerryShapiro_2010,160.0,24.0,0.0318709322629054,0.0303969603039696,1,0.0121018349962225
AshrafBerryShapiro_2010,161.0,24.0,0.3432724433508815,0.341965803419658,0,
AshrafBerryShapiro_2010,162.0,24.0,0.09010875645034,0.0830916908309169,0,
AshrafBerryShapiro_2010,163.0,24.0,0.3893932490770401,0.3850614938506149,0,
AshrafBerryShapiro_2010,164.0,24.0,0.6989523073270301,0.7003299670032996,0,
AshrafBerryShapiro_2010,165.0,24.0,0.3886173305783311,0.394960503949605,0,
AshrafBerryShapiro_2010,166.0,24.0,0.8804357276434152,0.880828497098259,0,
AshrafBerryShapiro_2010,167.0,25.0,0.5918663378800226,0.6055394460553944,1,0.0215016495069795
AshrafBerryShapiro_2010,168.0,25.0,0.6063712986707883,0.6121387861213878,0,
AshrafBerryShapiro_2010,169.0,25.0,0.8327107692755755,0.8378162183781622,0,
AshrafBerryShapiro_2010,170.0,25.0,0.0657992607569453,0.0744925507449255,0,
AshrafBerryShapiro_2010,171.0,25.0,0.4122078538054858,0.4226577342265773,0,
AshrafBerryShapiro_2010,172.0,25.0,0.1418425737131373,0.1510848915108489,0,
AshrafBerryShapiro_2010,173.0,26.0,1.0928734808925307e-11,9.999000099990002e-05,1,0.0030382978223018
AshrafBerryShapiro_2010,174.0,27.0,0.0206621446237672,0.0202979702029797,1,0.013765951860792
AshrafBerryShapiro_2010,175.0,27.0,0.09350038488228,0.0886911308869113,0,
AshrafBerryShapiro_2010,176.0,27.0,0.1088068315911927,0.1017898210178982,0,
AshrafBerryShapiro_2010,177.0,27.0,0.1614401049143913,0.1608839116088391,0,
AshrafBerryShapiro_2010,178.0,27.0,0.1818936264688879,0.1847815218478152,0,
AshrafBerryShapiro_2010,179.0,27.0,0.8646264525350746,0.8617138286171383,0,
AshrafBerryShapiro_2010,180.0,27.0,0.6641718028952039,0.6613338666133387,0,
AshrafBerryShapiro_2010,181.0,27.0,0.1800622873030586,0.1905620679290652,0,
AshrafBerryShapiro_2010,182.0,28.0,0.443018655495208,0.4420557944205579,1,0.0224230791260233
AshrafBerryShapiro_2010,183.0,28.0,0.2813309614744841,0.2782721727827217,0,
AshrafBerryShapiro_2010,184.0,28.0,0.0219310907231446,0.0220977902209779,0,
AshrafBerryShapiro_2010,185.0,28.0,0.0094192917231282,0.0100989901009899,0,
AshrafBerryShapiro_2010,186.0,28.0,0.4051933903375191,0.4046595340465953,0,
